estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
-1762790700.0,0.0784,-1,21,7,1,1,7,7,0,0,0,0,7,25,1762790725.0,2938.3077555197738,70511629.0
549450491.0,0.2122,-1,1,1,17,17,17,7,2,0,2,3,0,25,549450466.0,915.8515203339034,21978018.64
1289838350.0,0.1814,-1,1,1,17,17,17,17,6,4,3,4,0,25,1289838325.0,2149.967038040851,51593533.0
326885578.0,0.1564,-1,1,1,17,17,17,10,1,3,4,2,0,25,326885553.0,544.8691906109672,13075422.12
513273202.0,7.2567,-1,1,1,5497,641,641,316,92,174,44,6,0,25,513273177.0,855.5494054345978,20530927.08
-1417638593.0,21.1238,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,26,1417638619.0,2362.9909606723404,54524562.26923077
1426490319.0,3.0655,-1,1,1,730,728,728,728,671,24,29,4,0,24,1426490295.0,2377.745376991469,59437095.625
485069713.0,6.393,-1,1,1,8257,1198,1198,430,261,137,26,6,0,25,485069688.0,808.5384192261149,19402787.52
1132508918.0,67.7623,3,1,1,360,198,198,198,0,0,0,198,0,26,1132508892.0,1887.722469471642,43558034.307692304
1402669391.0,41.7146,-1,7,7,19248,2061,14427,8022,374,7403,133,112,0,20,1402669371.0,2338.0394693416274,70133468.55
75987377.0,0.2292,-1,1,1,17,17,17,7,4,0,2,1,0,25,75987352.0,126.65951921378019,3039494.08
164797272.0,0.1258,-1,1,1,13,13,13,4,0,1,0,3,0,25,164797247.0,274.6922944857268,6591889.88
1255575605.0,0.1223,-1,1,1,17,17,17,17,6,4,3,4,0,25,1255575580.0,2092.8561808465597,50223023.2
61978284.0,1.8703,-1,154,77,17,17,1309,513,0,175,301,37,0,26,61978258.0,103.30846059733237,2383779.153846154
-1222628549.0,8.4525,-1,7,7,8257,697,4879,907,664,0,187,56,0,25,1222628574.0,2037.9384632309554,48905142.96
793580622.0,0.1688,-1,1,1,17,17,17,17,1,5,8,3,0,25,793580597.0,1322.779834115086,31743223.88
-935644243.0,10.9109,-1,1,1,16478,938,938,938,732,21,169,16,0,25,935644268.0,1559.5786669867018,37425770.72
520800447.0,0.166,-1,1,1,13,13,13,6,1,1,1,3,0,25,520800422.0,868.0961939146639,20832016.88
