estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
-11004.98992001882,10.9366,-1,1,1,16478,938,938,938,732,21,169,16,0,2178307,2189311.9899200187,3.6492547345541655,1.0050520839900063
37234.60692071209,0.1699,-1,1,1,13,13,13,6,1,1,1,3,0,358291,321056.3930792879,0.5351528552795606,0.8960771916662374
36852.09340736248,0.1041,-1,1,1,13,13,13,13,1,5,3,4,0,546089,509236.90659263753,0.8488215480246786,0.9325163235161988
36704.13547556659,0.1314,-1,1,1,17,17,17,17,6,4,3,4,0,551875,515170.8645244334,0.8587125659229738,0.9334919402481239
36799.97406193931,6.1299,-1,1,1,5401,682,682,682,487,176,18,1,0,652678,615878.0259380607,1.0265762999564296,0.9436169534411467
-7514.921709143254,10.1922,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,2462608,2470122.921709143,4.117324441870511,1.0030516110193515
36854.33106707956,0.1444,-1,1,1,1,1,1,1,0,0,0,0,1,1092837,1055982.6689329203,1.7601647330088315,0.966276461112609
-20002.443682028323,8.47,-1,1,1,8257,784,784,784,499,233,49,3,0,1921884,1941886.4436820282,3.2368334578170734,1.0104077268357654
-11032.412975307485,28.6464,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,2155760,2166792.4129753076,3.611717977269679,1.0051176443459882
10405.362278459384,0.2519,-1,1,1,22,22,22,22,4,5,5,7,1,4418284,4407878.63772154,7.347272596188148,0.9976449313175749
34781.98574454686,4.8335,-1,462,308,5,5,1540,1251,242,493,516,0,0,419495,384713.01425545313,0.6412588955709347,0.917086054078006
-7687.886259113853,22.7,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,2419438,2427125.886259114,4.045654832463428,1.003177550430767
27536.380969162998,3.8528,-1,1,1,883,882,882,581,312,259,6,4,0,107844,80307.619030837,0.1338607564012658,0.744664691877499
37286.12673738113,0.1714,-1,1,1,17,17,17,9,3,4,0,2,0,140615,103328.87326261887,0.17223373448182444,0.7348353537148873
-5825.849599010494,3.3684,-1,1,1,5401,179,179,179,120,42,12,5,0,2559617,2565442.8495990103,4.276208465596233,1.0022760630199792
44944.17771015596,4.8248,-1,1,1,919,917,917,917,611,260,46,0,0,1222262,1177317.822289844,1.9624122358290146,0.9632286877034908
41804.96397515528,3.0945,-1,1,1,649,644,644,351,315,0,32,4,0,163005,121200.03602484471,0.20202228249248202,0.7435356953764898
79.98719688628275,0.1139,-1,1,1,4,4,4,4,1,2,0,1,0,2970711,2970631.0128031136,4.951596363605185,0.9999730747296232
8635.922552664188,0.0765,-1,1,1,9,9,9,9,1,0,4,4,0,3865979,3857343.0774473357,6.429612386441401,0.9977661744793067
8567.90171939841,0.1251,-1,1,1,17,17,17,17,6,4,3,4,0,3855657,3847089.0982806017,6.41252054106052,0.9977778361199147
36862.60137496551,0.0616,-1,1,1,1,1,1,1,0,0,0,0,1,1107130,1070267.3986250344,1.7839752349842388,0.9667043604861528
36939.997460257735,0.0244,-1,1,1,1,1,1,1,0,0,0,0,1,543037,506097.0025397423,0.8435877988907817,0.9319751739563644
-13187.959770114943,0.0206,-1,1,1,1,1,1,1,0,0,0,0,1,2182661,2195848.959770115,3.660150882880642,1.0060421475300632
44925.57923228347,0.5835,-1,54,36,5,5,180,144,28,57,59,0,0,62896,17970.420767716532,0.029953996219111656,0.28571643296420335
37030.91788135218,7.7627,-1,7,7,5497,702,4914,867,102,429,294,42,0,1153466,1116435.0821186479,1.8609298391467193,0.9678959606253221
36990.094028666135,0.2066,-1,1,1,17,17,17,17,6,4,3,4,0,545704,508713.90597133385,0.8479497844285102,0.9322158275756341
5806.756864710197,2.5079,-1,1,1,2521,256,256,256,42,181,23,10,0,3514217,3508410.2431352898,5.847993684530781,0.9983476385024856
35201.74847770321,23.1557,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,1021336,986134.2515222968,1.643737897039169,0.9655336260763322
36857.24763328351,0.1926,-1,1,1,13,13,13,9,1,4,0,4,0,460043,423185.7523667165,0.7053871798676463,0.9198830378175877
43330.78039392652,51.9117,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,1218318,1174987.2196060736,1.958527470698566,0.9644339323609055
34736.699964423664,4.926,-1,1,1,919,917,917,917,611,260,46,0,0,943627,908890.3000355763,1.5149838149456045,0.9631881029639638
7704.560675694997,3.3018,-1,1,1,5401,164,164,164,120,28,9,7,0,3743071,3735366.439324305,6.2262956247258945,0.9979416471993999
36911.81659658376,0.4403,-1,21,7,17,17,119,56,28,0,14,14,0,1071150,1034238.1834034162,1.7239199368654154,0.9655400115795325
36620.50027652682,13.2493,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,355857,319236.49972347316,0.5321193660027156,0.8970920895850669
37084.92727008783,3.7461,-1,378,252,9,9,2268,955,29,0,439,487,0,352269,315184.0727299122,0.5253645779867655,0.8947255442003474
