estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,true_counts,absolute_error,normalized_error,relative_error
300396,0.135,-1,21,7,1,1,7,7,0,0,0,0,0,0,7,300396,0,0.0,0.0
20620,5.274545,-1,1,1,5401,590,590,282,98,139,36,9,0,0,0,18338,2282,0.003803751746025396,0.1244410513687425
98567,5.721342,-1,1,1,8257,196,196,196,150,28,15,3,0,0,0,96716,1851,0.0030853393873326064,0.019138508623185408
109970,15.371783,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,0,0,90941,19029,0.03171848903379372,0.2092455548102616
22825,4.972605,-1,1,1,5401,675,675,312,117,159,26,10,0,0,0,20275,2550,0.004250467551430657,0.12577065351418001
11526,3.179988,-1,1,1,946,937,937,623,351,253,16,3,0,0,0,5605,5921,0.00986941896941997,1.056378233719893
9511,62.913835,-1,1,1,110214,2260,2260,765,67,173,457,68,0,0,0,5507,4004,0.006674067480756217,0.7270746322861812
143579,3.790192,-1,1,1,5497,128,128,128,60,42,21,5,0,0,0,142582,997,0.0016618494701083786,0.006992467492390343
121920,4.530143,-1,1,1,4849,546,546,546,499,0,38,9,0,0,0,116222,5698,0.009497711414922307,0.049026862384058095
21510,0.133363,-1,1,1,17,17,17,17,1,5,8,3,0,0,0,21408,102,0.0001700187020572263,0.00476457399103139
25296,84.941407,3,1,1,360,162,162,162,0,0,0,162,0,0,0,28760,3464,0.005773968469865018,0.12044506258692629
21517,0.158043,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,21408,109,0.0001816866521984085,0.005091554559043348
32242,82.650797,3,1,1,360,198,198,198,0,0,0,198,0,0,0,35918,3676,0.006127340674140822,0.10234422852051896
12953,0.186404,-1,3,3,17,17,51,19,4,2,6,7,0,0,0,12855,98,0.00016335130197655075,0.007623492804356281
