baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.02062821388244629,0.0009386539459228516,156211,156233.0,1,1,4,4,4,4,1,2,0,1,0,0,0,22.0,3.667070044371547e-05,0.00014083515245405255,13
0.020593881607055664,0.0010693073272705078,151716,151738.0,1,1,9,9,9,9,1,0,4,4,0,0,0,22.0,3.667070044371547e-05,0.00014500777768989428,28
0.021209001541137695,0.0012311935424804688,151330,151408.0,1,1,17,17,17,17,6,4,3,4,0,0,0,78.0,0.00013001430157317306,0.000515429855283156,52
0.03986811637878418,0.0006909370422363281,43492,43492.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.04114985466003418,0.0005578994750976562,21262,21262.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.026869535446166992,0.000560760498046875,85608,85608.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.05967307090759277,0.0014498233795166016,2033,2626.0,54,36,5,5,180,144,28,57,59,0,0,0,0,593.0,0.000988442061960149,0.29168716182980814,383
0.034056901931762695,0.028179645538330078,45141,48587.0,7,7,5497,702,4914,867,102,429,294,42,0,0,0,3446.0,0.005743965169501979,0.07633858354932323,11285
0.035233497619628906,0.0013341903686523438,21421,21490.0,1,1,17,17,17,17,6,4,3,4,0,0,0,69.0,0.00011501265139165308,0.0032211381354745345,52
0.023154497146606445,0.012106895446777344,137711,138947.0,1,1,2521,256,256,256,42,181,23,10,0,0,0,1236.0,0.002060226624928742,0.008975317875841436,3034
0.02322077751159668,0.06859183311462402,38587,49421.0,1,1,30107,2677,2677,2677,72,1739,802,64,0,0,0,10834.0,0.018058653118509703,0.28076813434576414,35462
0.04228472709655762,0.0016145706176757812,18061,18088.0,1,1,13,13,13,9,1,4,0,4,0,0,0,27.0,4.5004950544559904e-05,0.0014949338353358065,36
0.021271228790283203,0.1635899543762207,37682,47494.0,1,1,108781,2299,2299,2299,354,1252,625,68,0,0,0,9812.0,0.016355132397897102,0.26038957592484474,113380
0.021024465560913086,0.01428365707397461,39342,44996.0,1,1,919,917,917,917,611,260,46,0,0,0,0,5654.0,0.009424370014034877,0.14371409689390474,2754
0.020516633987426758,0.020217418670654297,146880,147909.0,1,1,5401,164,164,164,120,28,9,7,0,0,0,1029.0,0.001715188670753783,0.007005718954248366,5730
0.025474071502685547,0.0017390251159667969,42096,42332.0,21,7,17,17,119,56,28,0,14,14,0,0,0,236.0,0.0003933766047598569,0.005606233371341695,213
0.03316783905029297,0.03841257095336914,12657,19942.0,1,1,16319,2451,2451,1171,946,27,182,16,0,0,0,7285.0,0.012143002396930329,0.5755708303705459,19942
0.04472494125366211,0.008544206619262695,13781,15164.0,378,252,9,9,2268,955,29,0,439,487,0,0,0,1383.0,0.0023052535778935682,0.10035556200565997,3610
