true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
10191,10209,1,9511,1454,452,0,1002,0,0,18,3.3215908944121615e-05,0.001766264350897851
2061,2053,1,3047,305,48,22,93,86,56,8,1.4762626197387384e-05,0.0038816108685104317
3251,3387,1,9342,1275,718,0,557,0,0,136,0.00025096464535558555,0.04183328206705629
216763,217854,125,9798,48462,10811,0,37651,0,0,1091,0.0020132531476687045,0.005033146800883914
121867,122011,125,3893,18039,2211,5578,2502,4307,3441,144,0.0002657272715529729,0.0011816160240261924
4830,4817,1,3188,482,85,72,131,112,82,13,2.39892675707545e-05,0.002691511387163561
218046,227265,125,16881,91838,12829,79009,0,0,0,9219,0.017012081364214286,0.042280069343166124
5197,5207,1,3456,615,192,62,151,137,73,10,1.845328274673423e-05,0.0019241870309794113
3076,3074,1,2633,306,0,86,90,83,47,2,3.690656549346846e-06,0.0006501950585175553
5902,5935,1,4119,793,178,228,122,162,103,33,6.089583306422296e-05,0.005591324974584887
81845,81191,4750,2612,17787,0,3570,4900,5022,4295,654,0.0012068446916364186,0.007990714154804814
124559,124467,125,3456,17998,3304,1752,5149,4484,3309,92,0.0001697702012699549,0.0007386058012668695
10257,10549,1,17493,3148,584,2564,0,0,0,292,0.0005388358562046395,0.028468363069123526
5080,5120,1,9511,1148,336,0,812,0,0,40,7.381313098693692e-05,0.007874015748031496
84100,83703,4750,2831,17816,1974,2198,4263,4975,4406,397,0.000732595325045349,0.004720570749108205
220209,229997,125,17493,94130,15121,79009,0,0,0,9788,0.018062073152503466,0.04444868284220899
3832,4078,1,17493,1885,301,1584,0,0,0,246,0.00045395075556966207,0.06419624217118998
955,953,1,2795,258,0,54,72,83,49,2,3.690656549346846e-06,0.0020942408376963353
184806,187154,4750,9798,60267,16951,0,43316,0,0,2348,0.004332830788933198,0.012705215198640736
5663,5665,1,3050,610,89,75,181,162,103,2,3.690656549346846e-06,0.0003531696980399082
184922,192814,125,12449,77216,34906,20791,21519,0,0,7892,0.014563330743722654,0.04267745319648284
118164,117623,125,2469,15276,0,3303,4385,4200,3388,541,0.0009983225965983218,0.004578382586913104
574,592,1,9342,317,112,0,205,0,0,18,3.3215908944121615e-05,0.0313588850174216
5443,5433,1,2684,482,0,123,151,126,82,10,1.845328274673423e-05,0.0018372221201543267
3782,3772,1,2679,457,0,120,132,117,88,10,1.845328274673423e-05,0.0026441036488630354
7244,7225,1,2831,635,65,92,205,176,97,19,3.506123721879504e-05,0.002622860298177802
2727,2622,4750,947,1919,48,193,229,1449,0,105,0.00019375946884070942,0.03850385038503851
5781,5779,1,3433,690,137,102,191,160,100,2,3.690656549346846e-06,0.0003459609064175748
7277,7454,1,6594,2763,33,2093,637,0,0,177,0.0003266231046171959,0.02432321011405799
4052,4179,1,11130,1759,618,615,526,0,0,127,0.00023435669088352472,0.03134254689042448
7259,7243,1,2671,646,0,173,201,158,114,16,2.9525252394774767e-05,0.0022041603526656564
124050,123630,125,2662,16089,0,3551,4988,4162,3388,420,0.0007750378753628377,0.003385731559854897
40430,47631,4750,16881,63195,15557,47638,0,0,0,7201,0.01328820890592332,0.17811031412317585
4738,4941,1,17493,2164,428,1736,0,0,0,203,0.00037460163975870485,0.042845082313212324
2003,1996,1,3456,295,42,86,37,74,56,7,1.2917297922713961e-05,0.003494757863205192
7050,7031,1,2576,630,0,171,191,156,112,19,3.506123721879504e-05,0.0026950354609929076
6108,6101,1,2757,642,0,190,212,134,106,7,1.2917297922713961e-05,0.00114603798297315
4099,4295,1,9342,1888,1040,0,848,0,0,196,0.0003616843418359909,0.04781654061966333
1697,1846,1,16881,1108,106,1002,0,0,0,149,0.00027495391292634003,0.08780200353565115
4286,4512,1,16881,1983,338,1645,0,0,0,226,0.0004170441900761936,0.05272981801213252
3130,3268,1,12103,1452,617,356,479,0,0,138,0.0002546553019049324,0.044089456869009586
114847,120281,125,12126,60660,22923,19233,18504,0,0,5434,0.01002751384457538,0.04731512359922332
40430,47631,4750,16881,63195,15557,47638,0,0,0,7201,0.01328820890592332,0.17811031412317585
79978,79355,4750,2469,17007,0,3839,3938,4708,4522,623,0.0011496395151215425,0.007789642151591687
121506,121009,125,2726,16907,0,3909,5258,4431,3309,497,0.0009171281525126913,0.00409033298767139
4160,4191,1,9798,787,201,0,586,0,0,31,5.720517651487611e-05,0.007451923076923077
5518,5501,1,2608,476,0,110,156,128,82,17,3.137058066944819e-05,0.0030808263863718738
1950,2146,125,11130,2736,1155,762,819,0,0,196,0.0003616843418359909,0.10051282051282051
4825,4954,1,12126,1914,477,897,540,0,0,129,0.00023804734743287158,0.02673575129533679
1168,1163,1,2608,189,0,31,59,55,44,5,9.226641373367115e-06,0.004280821917808219
78600,78341,4750,3050,18262,2785,2204,3956,5022,4295,259,0.00047794002314041655,0.0032951653944020354
7709,7808,1,9798,1445,601,0,844,0,0,99,0.00018268749919266887,0.01284213257231807
216763,217854,125,9798,48462,10811,0,37651,0,0,1091,0.0020132531476687045,0.005033146800883914
83586,83071,4750,2725,17720,0,4406,3933,4975,4406,515,0.0009503440614568128,0.006161318881152346
3940,3937,1,2897,488,0,147,122,136,83,3,5.535984824020269e-06,0.0007614213197969543
6384,6386,1,3456,715,111,244,98,152,110,2,3.690656549346846e-06,0.0003132832080200501
2919,2919,1,4357,474,50,139,134,101,50,0,0.0,0.0
3716,3709,1,3311,377,60,32,123,94,68,7,1.2917297922713961e-05,0.001883745963401507
5847,5830,1,2634,570,0,160,184,137,89,17,3.137058066944819e-05,0.0029074739182486744
5155,5144,1,2671,440,0,114,135,110,81,11,2.0298611021407652e-05,0.002133850630455868
5163,5338,1,17493,2291,346,1945,0,0,0,175,0.00032293244806784905,0.03389502227387178
1697,1846,1,16881,1108,106,1002,0,0,0,149,0.00027495391292634003,0.08780200353565115
1359,1405,1,9342,667,351,0,316,0,0,46,8.488510063497745e-05,0.03384841795437822
125819,125277,125,2778,16361,0,3810,4685,4546,3320,542,0.0010001679248729952,0.004307775455217416
2998,2985,1,2781,388,0,115,115,101,57,13,2.39892675707545e-05,0.004336224149432955
83879,83363,4750,2781,18413,0,4728,4388,4662,4635,516,0.0009521893897314863,0.006151718546954542
119569,119219,125,2856,15581,1489,1829,4515,4307,3441,350,0.0006458648961356981,0.0029271801219379603
4283,4491,1,17493,1996,351,1645,0,0,0,208,0.000383828281132072,0.048564090590707445
121204,121184,125,3513,16724,1849,4715,2501,4263,3396,20,3.690656549346846e-05,0.00016501105574073463
2901,2896,1,3047,377,45,57,111,107,57,5,9.226641373367115e-06,0.001723543605653223
40430,47631,4750,16881,63195,15557,47638,0,0,0,7201,0.01328820890592332,0.17811031412317585
123618,122987,125,2608,15930,0,2832,5164,4580,3354,631,0.00116440214131893,0.005104434629261111
119773,119235,125,2502,15085,0,2900,4597,4200,3388,538,0.0009927866117743016,0.004491830379133862
5126,5384,1,17493,2313,348,1965,0,0,0,258,0.00047609469486574316,0.05033164260632072
673,662,1,2151,336,4,8,324,0,0,11,2.0298611021407652e-05,0.01634472511144131
114847,120281,125,12126,60660,22923,19233,18504,0,0,5434,0.01002751384457538,0.04731512359922332
1140,1135,1,3893,191,14,49,26,59,43,5,9.226641373367115e-06,0.0043859649122807015
6769,7004,1,17493,2555,528,2027,0,0,0,235,0.0004336521445482544,0.03471709262815778
5838,5852,1,3311,729,170,102,210,148,99,14,2.5834595845427923e-05,0.002398081534772182
124559,124467,125,3456,17998,3304,1752,5149,4484,3309,92,0.0001697702012699549,0.0007386058012668695
6619,6608,1,3047,641,77,110,190,156,108,11,2.0298611021407652e-05,0.0016618824595860402
3522,3626,1,6222,1610,18,1066,526,0,0,104,0.000191914140566036,0.029528676888131742
6653,6671,1,3305,688,137,121,171,149,110,18,3.3215908944121615e-05,0.00270554637005862
6314,6288,1,3305,504,51,80,119,146,108,26,4.7978535141509e-05,0.004117833386126069
2998,2985,1,2781,388,0,115,115,101,57,13,2.39892675707545e-05,0.004336224149432955
5690,5680,1,2633,655,0,194,214,148,99,10,1.845328274673423e-05,0.0017574692442882249
