estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
119988626.0,0.2611,-1,7,7,13,13,91,49,7,7,7,28,0,119716070,272556.0,0.4543099740971507,0.0022766868307654937
40139033.0,0.1144,-1,1,1,17,17,17,17,6,4,3,4,0,39969877,169156.0,0.28195768201168797,0.004232087078977001
43783229.0,9.6843,-1,21,21,5401,606,12726,1849,58,1686,84,21,0,21864994,21918235.0,36.53441045181636,1.0024349880910097
210939762.0,18.042101,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,159393853,51545909.0,85.91929945627352,0.3233870568396386
29505150.0,53.0152,3,1,1,425,102,102,102,0,0,0,102,0,26931191,2573959.0,4.2904036110638835,0.09557538691846194
53568412.0,54.8127,3,1,1,425,204,204,204,0,0,0,204,0,54484233,915821.0,1.5265362523210886,0.016808917912086604
556422027.0,0.0975,-1,21,7,1,1,7,7,0,0,0,0,7,556422027,0.0,0.0,0.0
37752944.0,5.1557,-1,1,1,5401,590,590,282,98,139,36,9,0,34060402,3692542.0,6.1549137071744555,0.10841158010994703
181737134.0,5.278299,-1,1,1,8257,196,196,196,150,28,15,3,0,178765189,2971945.0,4.953786583190817,0.016624853063534645
216987785.0,12.9621,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,186053546,30934239.0,51.56273690105912,0.16626524817753272
41388892.0,3.611801,-1,1,1,5401,675,675,312,117,159,26,10,0,37194889,4194003.0,6.9907739851383655,0.11275750816194129
17865588.0,2.832899,-1,1,1,946,937,937,623,351,253,16,3,0,8193913,9671675.0,16.121231668816904,1.1803487540080058
15157237.0,41.3566,-1,1,1,110214,2260,2260,765,67,173,457,68,0,8940340,6216897.0,10.362634889837882,0.6953759029298662
265150732.0,2.3643,-1,1,1,5497,128,128,128,60,42,21,5,0,263509082,1641650.0,2.7363843356102504,0.00622995605138194
223861542.0,3.308,-1,1,1,4849,546,546,546,499,0,38,9,0,214633641,9227901.0,15.381526967966476,0.042993730884898884
39761380.0,0.104599,-1,1,1,17,17,17,17,1,5,8,3,0,39589809,171571.0,0.2859831248103958,0.004333716285420826
52625823.0,53.6748,3,1,1,360,162,162,162,0,0,0,162,0,60414594,7788771.0,12.98271309844083,0.12892201179072726
39617686.0,0.1675,-1,1,1,17,17,17,17,6,4,3,4,0,39426720,190966.0,0.31831168095157136,0.004843568016817021
65932763.0,54.832401,3,1,1,360,198,198,198,0,0,0,198,0,74043831,8111068.0,13.5199338593912,0.10954414284695776
23731906.0,0.175801,-1,3,3,17,17,51,19,4,2,6,7,0,23565853,166053.0,0.2767854463991039,0.007046339464139066
