estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_mins,absolute_error,normalized_error,relative_error
471.0,54.9066,3,1,1,360,162,162,162,0,0,0,162,0,0,471.0,0.000785086359499545,0.0
690.0,0.8996,-1,54,36,17,17,612,160,21,31,45,63,0,79,611.0,0.0010184453623231888,7.734177215189874
0.0,0.1202,-1,1,1,17,17,17,12,4,2,2,4,0,0,0.0,0.0,0.0
0.0,22.7768,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0,0,0.0,0.0,0.0
0.0,0.2301,-1,7,7,13,13,91,49,7,7,7,28,0,0,0.0,0.0,0.0
0.0,0.119,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,10.4397,-1,21,21,5401,606,12726,1849,58,1686,84,21,0,0,0.0,0.0,0.0
0.0,19.2357,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,0,0.0,0.0,0.0
384.0,59.5813,3,1,1,425,102,102,102,0,0,0,102,0,0,384.0,0.000640070407744852,0.0
432.0,62.2148,3,1,1,425,204,204,204,0,0,0,204,0,0,432.0,0.0007200792087129585,0.0
0.0,0.1357,-1,21,7,1,1,7,7,0,0,0,0,7,0,0.0,0.0,0.0
0.0,6.4649,-1,1,1,5401,590,590,282,98,139,36,9,0,0,0.0,0.0,0.0
0.0,5.2996,-1,1,1,8257,196,196,196,150,28,15,3,0,0,0.0,0.0,0.0
0.0,12.7631,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,0,0.0,0.0,0.0
0.0,3.7048,-1,1,1,5401,675,675,312,117,159,26,10,0,0,0.0,0.0,0.0
0.0,2.9495,-1,1,1,946,937,937,623,351,253,16,3,0,0,0.0,0.0,0.0
0.0,44.9574,-1,1,1,110214,2260,2260,765,67,173,457,68,0,0,0.0,0.0,0.0
0.0,2.6128,-1,1,1,5497,128,128,128,60,42,21,5,0,0,0.0,0.0,0.0
0.0,3.5169,-1,1,1,4849,546,546,546,499,0,38,9,0,0,0.0,0.0,0.0
0.0,0.1214,-1,1,1,17,17,17,17,1,5,8,3,0,0,0.0,0.0,0.0
378.0,58.5142,3,1,1,360,162,162,162,0,0,0,162,0,0,378.0,0.0006300693076238386,0.0
0.0,0.4083,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
432.0,64.9709,3,1,1,360,198,198,198,0,0,0,198,0,0,432.0,0.0007200792087129585,0.0
0.0,0.1755,-1,3,3,17,17,51,19,4,2,6,7,0,0,0.0,0.0,0.0
