estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_maxs,absolute_error,normalized_error,relative_error
6625.0,8.245,-1,7,7,5497,702,4914,867,102,429,294,42,0,9659,3034.0,0.0050572229611923975,0.3141111916347448
9374.0,0.328,-1,1,1,17,17,17,17,6,4,3,4,0,9599,225.0,0.0003750412545379992,0.023439941660589644
9117.0,2.816,-1,1,1,2521,256,256,256,42,181,23,10,0,9810,693.0,0.0011551270639770376,0.07064220183486239
2796.0,20.3021,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,4397,1601.0,0.002668626882290385,0.36411189447350467
9234.0,0.1842,-1,1,1,13,13,13,9,1,4,0,4,0,9870,636.0,0.001060116612827411,0.06443768996960486
3589.0,45.4018,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,5223,1634.0,0.0027236329329559583,0.3128470227838407
3946.0,3.6836,-1,1,1,919,917,917,917,611,260,46,0,0,5879,1933.0,0.003222021088986455,0.32879741452628
9134.0,2.8127,-1,1,1,5401,164,164,164,120,28,9,7,0,9810,676.0,0.0011267906136341664,0.0689092762487258
8051.0,0.2796,-1,21,7,17,17,119,56,28,0,14,14,0,9734,1683.0,0.002805308583944234,0.17289911649886994
2897.0,11.5794,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,4471,1574.0,0.0026236219317458255,0.35204652203086556
2514.0,2.8302,-1,378,252,9,9,2268,955,29,0,439,487,0,4914,2400.0,0.004000440048405325,0.4884004884004884
9599.0,0.0864,-1,1,1,9,9,9,9,1,0,4,4,0,9810,211.0,0.00035170535425563476,0.021508664627930683
7193.0,3.8835,-1,1,1,8257,240,240,240,210,21,9,0,0,9764,2571.0,0.004285471401854204,0.2633142154854568
8588.0,4.0847,-1,1,1,8353,215,215,169,134,14,15,6,0,9870,1282.0,0.002136901725856511,0.12988855116514691
5831.0,2.9851,-1,1,1,937,933,933,598,334,254,6,4,0,6466,635.0,0.0010584497628072422,0.09820600061862048
3516.0,3.0914,-1,1,1,973,971,971,636,336,254,46,0,0,5707,2191.0,0.0036520683941900275,0.3839144909759944
4071.0,3.3464,-1,7,7,5401,127,889,386,274,49,42,21,0,9383,5312.0,0.008854307307137118,0.5661302355323458
9734.0,0.0469,-1,3,1,1,1,1,1,0,0,0,0,1,9734,0.0,0.0,0.0
6048.0,3.3795,-1,1,1,937,931,931,931,667,254,6,4,0,6752,704.0,0.0011734624141988951,0.10426540284360189
3008.0,20.7994,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,4746,1738.0,0.0028969853350535226,0.3662031184155078
4509.0,14.1783,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,5015,506.0,0.000843426110205456,0.10089730807577268
4036.0,3.8909,-1,1,1,973,969,969,969,669,254,46,0,0,5707,1671.0,0.002785306383702207,0.29279831785526544
8574.0,4.1043,-1,1,1,8257,281,281,218,177,28,6,7,0,9810,1236.0,0.002060226624928742,0.12599388379204893
2872.0,72.112,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,4590,1718.0,0.0028636483346501447,0.37429193899782137
2778.0,8.5551,-1,1,1,15352,304,304,169,70,7,78,14,0,3568,790.0,0.0013168115159334194,0.22141255605381166
9134.0,3.7738,-1,1,1,5497,104,104,104,60,21,18,5,0,9764,630.0,0.0010501155127063976,0.06452273658336748
8929.0,0.2672,-1,1,1,13,13,13,13,1,5,3,4,0,9731,802.0,0.001336813716175446,0.08241701777823451
2051.0,63.404,3,1,1,425,204,204,204,0,0,0,204,0,3722,1671.0,0.002785306383702207,0.4489521762493283
3598.0,28.2963,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,5166,1568.0,0.002613620831624812,0.3035230352303523
9009.0,0.4785,-1,3,3,13,13,39,31,2,12,8,9,0,9564,555.0,0.0009251017611937313,0.05803011292346299
9594.0,0.1428,-1,1,1,17,17,17,17,6,4,3,4,0,9764,170.0,0.0002833645034287105,0.017410897173289634
6752.0,0.0536,-1,1,1,4,4,4,4,1,2,0,1,0,6752,0.0,0.0,0.0
